Margin D,% Home Ownership,% Married Couples,% Poverty,% Bachelor's Degree or Higher,% Less than High School,% Non-Hispanic White,% Black,% Native,% Asian,% Hispanic,% Foreign Born
-31.48,66.9414,50.8377,23.076,14.5937,9.6151,62.8068,34.5348,0.1557,0.0359,0.0239,0.0359
-62.11,84.1962,64.1833,15.8296,20.468,13.5173,93.894,0.0256,2.509,0.6528,0.4224,1.2161
-13.49,69.124,50.5886,23.1669,14.4689,13.956,55.128,41.4016,0.0797,0.0755,2.3416,0.726
-53.32,76.4449,66.31,17.8921,12.6586,15.1544,95.4611,0.5408,0.0483,0,2.9261,0.6374
19.32,48.1897,43.2378,34.5385,13.7761,19.7266,34.505,63.1517,0.0054,0,1.8811,0.4353
-67.71,78.785,68.9385,15.4189,17.289,12.6113,87.3745,4.0814,0.5206,0.4277,6.508,3.6352
-59.76,62.9225,57.4754,21.4473,11.0729,19.6661,86.8095,4.574,0.0921,0.0502,3.0424,0.9792
-68.18,76.6832,64.4266,23.7957,14.0966,15.0786,87.6033,0.4728,1.3536,0.2837,6.589,4.3446
-50.39,68.9269,62.0332,18.8421,22.7649,15.5206,84.0075,2.9266,0.6054,1.032,9.0196,5.4218
-61,73.9407,64.0338,14.7907,15.4399,16.7949,84.6501,12.4191,0.4396,0.2076,1.734,0.2198
22.51,58.8025,50.374,16.8259,34.3152,9.6486,52.2655,36.6695,0.2369,2.2012,6.1509,5.4524
-60.77,71.7199,61.3044,18.8113,13.8489,17.1109,93.9022,1.0851,0.6386,0.1187,2.074,1.7689
-41.25,54.7401,44.8712,24.8908,10.3885,18.0808,39.973,53.1429,0.2857,0.6178,5.1853,1.5637
-69.81,78.0919,66.9822,9.1773,26.6904,9.3785,84.5874,7.0929,0.3165,1.2662,4.7632,3.2441
-69.1,73.783,65.0795,19.1287,9.3156,20.8601,84.3485,0.2409,1.8986,0.7228,7.7005,1.6191
-35.45,73.9405,69.922,21.8822,11.8937,18.2462,93.1335,0.607,1.7577,0.6955,2.4153,0.999
-53.21,58.8155,58.2046,18.4981,21.3185,15.9377,69.5613,6.705,1.0314,4.4823,14.2204,8.9505
-60,71.3849,68.7065,21.2779,12.7924,23.4887,57.28,4.7948,2.0315,0.4449,33.4348,16.3808
5.09,77.1586,56.9699,22.2427,10.1644,16.5404,93.436,0.7177,0.3326,0.0817,2.2813,0.7527
-57.87,74.6396,65.3425,19.83,13.875,18.8436,94.6533,0.0882,0.4649,0.505,1.9479,0.7455
-29.47,75.4483,55.565,19.0882,21.0813,15.0544,60.5212,32.6574,0.7351,0.654,3.9976,1.848
-56.89,78.5557,66.4823,18.5077,14.5239,14.8754,93.4743,0.4687,0.6069,0.2223,3.1246,1.34
-3.9,52.5943,59.6161,16.3891,33.3106,14.9986,70.8936,3.5757,0.7848,2.4073,16.7804,11.0513
-58.94,66.0644,64.1985,15.6897,20.8558,15.6042,88.0678,4.2317,0.579,0.7402,4.3447,2.9976
-27.75,65.382,54.0355,25.2133,14.0498,18.2969,69.3862,28.1494,0,0.9031,0.4592,0.4439
-58.48,71.4781,63.2262,16.6486,12.8164,21.7976,75.2702,2.0732,0.4333,0.9877,20.1547,9.9329
62.21,53.5176,62.2294,9.9112,47.4224,11.557,31.4137,10.3315,0.3145,29.9384,22.3943,32.5273
31.31,84,59.6211,19.7305,34.5455,8.8312,53.0318,0.8662,30.2214,0.9625,12.512,5.1011
-24.26,76.504,65.4973,9.9452,19.2672,9.9818,78.1571,2.2067,0.6479,1.2413,13.8958,6.0267
1.94,58.9909,54.6679,19.0712,27.218,10.7546,71.9773,1.48,0.7524,4.4536,16.3478,7.3161
-23.73,77.7535,61.4638,11.4248,18.3196,9.8255,80.9355,0.6921,0.4043,1.5028,12.06,4.8447
